,lower_bound,upper_bound
r54ra,-1000,1000
r54rb,-1000,1000
r13r,-1000,1000
r26r,-1000,1000
r15r,-1000,1000
r96,0,1000
r94,0,1000
r95,0,1000
r93,0,1000
r90,0,1000
r91,0,1000
r8r,-1000,1000
r10a,0,1000
r10b,0,1000
r10c,0,1000
r28r,-1000,1000
r3,0,1000
r70,0,1000
r6r,-1000,1000
r97r,-1000,1000
r2r,-1000,1000
r55a,0,1000
r55b,0,1000
r4,0,1000
r12r,-1000,1000
r1,0,1000
r27,0,1000
r27r,-1000,1000
r81,0,1000
r23r,-1000,1000
r9,0,1000
r14r,-1000,1000
rr9,0,1000
r53r,-1000,1000
r80,0,1000
r83,0,1000
r82,0,1000
r29r,-1000,1000
r7ra,-1000,1000
r7rb,-1000,1000
r7rc,-1000,1000
r41,0,1000
r40,0,1000
r11r,-1000,1000
r42,0,1000
r5r,-1000,1000
r25,0,1000
r24,0,1000
r22,0,1000
r21,0,1000
r20,0,1000
xchg_ACETATE_ext,0,1000
xchg_ATP_main,0,1000
xchg_BIOMASS,0,1000
xchg_CO2_ext,-1000,1000
xchg_ETOH_ext,0,1000
xchg_FORMATE_ext,0,1000
xchg_GLU_ext,-1000,1000
xchg_LACTATE_ext,0,1000
xchg_NH3_ext,-1000,1000
xchg_OXY_ext,-1000,1000
xchg_SUCC_ext,0,1000
r60,0,1000
r61r,-1000,1000
